CompiledGCCStatus,RunStatus,Runtime,FileName,Path,CodeLines,OutLines
"Yes","0","0",".002902014","Fast_Modular_Reduction_Montgomery_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","195","16"
"Yes","0","139",".252857013","AdamW_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","103","0"
"Yes","0","0",".003647744","Conjugate_Gradient_Kernel_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","115","9"
"Yes","0","0",".004792124","Clenshaw_Curtis_Quadrature_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","56","1"
"No","1","N/A","0","Siamese_Network_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","100","0"
"Yes","0","139",".930030126","Layer_Normalization_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","147","0"
"No","1","N/A","0","Disco_Diffusion_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","126","0"
"Yes","0","0",".003024334","Euler_Tour_Tree_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","177","4"
"No","1","N/A","0","ASCON_128_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","106","0"
"Yes","0","0",".002458833","Newton_Cotes_Formula_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","66","1"
"Yes","0","0",".003358798","Polygon_Self_Intersection_Test_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","121","14"
"Yes","0","139",".306623381","Mistral_7B_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","312","0"
"Yes","0","0",".002927994","Recursive_DFS_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","132","2"
"Yes","0","139",".325918901","Deep_Belief_Regressor_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","161","0"
"Yes","0","0",".002375605","Midpoint_of_Two_Points_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","54","2"
"Yes","0","0",".076833931","Elastic_Net_Classifier_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","167","3"
"Yes","0","0",".002397463","k_d_Tree_Range_Query_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","103","7"
"Yes","0","0",".012133754","Mean_Shift_Clustering_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","94","7"
"Yes","0","134",".112132302","Serpent_192_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","287","2"
"Yes","0","0",".469582580","Barnes_Hut_Algorithm_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","305","11"
"Yes","0","124","1.002381132","Markov_Chain_Monte_Carlo_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","94","0"
"Yes","0","0",".003276343","DryGASCON_256_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","46","1"
"Yes","0","124","1.001802329","Rectangle_Intersection_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","66","0"
"Yes","0","0",".002871016","MT5_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","79","10"
"Yes","0","0",".002998349","Maximum_Independent_Set_Branch_&_Bound_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","133","2"
"Yes","0","0",".003081159","Bridge_Connectivity_Components_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","169","12"
"Yes","0","124","1.002590807","Fox_Matrix_Multiplication_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","96","0"
"Yes","0","0",".002867640","Binary_Long_Division_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","73","6"
"Yes","0","139",".260550315","Mesh_Normal_Computation_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","93","0"
"Yes","0","0",".006160604","Ridge_Classifier_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","147","13"
"Yes","0","0",".002234246","Successive_Shortest_Augmenting_Path_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","85","3"
"Yes","0","124","1.001812103","RANSAC_Plane_Fitting_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","117","0"
"No","1","N/A","0","Graph_Edit_Distance_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","166","0"
"No","1","N/A","0","N_Body_Kernel_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","174","0"
"Yes","0","139",".661836756","Spherical_Triangle_Area_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","33","0"
"Yes","0","0",".003333174","Random_Walk_with_Restart_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","146","5"
"No","1","N/A","0","HuBERT_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","243","0"
"Yes","0","124","1.004204011","Delaunay_Triangulation_n=500_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","126","0"
"Yes","0","124","1.002119432","Minimum_Cost_Circulation_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","139","0"
"Yes","0","0",".013949503","Collision_Detection_OBB_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","200","5"
"Yes","0","0",".002967991","Negative_Cycle_Detection_Bellman_Ford_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","138","43"
"Yes","0","0",".019586549","Skip_Gram_Model_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","158","3"
"Yes","0","124","1.002302377","Julia_Set_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","77","0"
"Yes","0","124","1.002562428","k_Means_Clustering_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","144","0"
"Yes","0","0",".003374959","SPECK_64_96_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","147","4"
"Yes","0","0",".003218873","Linear_Recurrence_Solver_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","49","1"
"Yes","0","0",".003257153","Differentiable_Neural_Computer_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","130","6"
"Yes","0","0",".003982420","Orthogonal_Matching_Pursuit_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","232","5"
"Yes","0","124","1.002862240","Approximate_Distance_via_Landmark_Sampling_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","75","0"
"No","1","N/A","0","Serpent_XTS_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","444","0"
"Yes","0","124","1.001930579","LeNet_5_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","258","0"
"Yes","0","124","1.001985626","Quasi_Monte_Carlo_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","91","0"
"Yes","0","139",".105065980","DESX_CBC_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","481","0"
"Yes","0","0",".002648703","Dense_Matrix_Multiplication_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","78","11"
"Yes","0","0",".011693890","Polygon_Boolean_Complex_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","100","20"
"Yes","0","0",".002761518","Dilation_Binary_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","149","48"
"Yes","0","0",".003143875","Path_Based_SCC_Algorithm_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","165","1"
"Yes","0","0",".003257246","Shortest_Augmenting_Path_SAP_Algorithm_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","193","2"
"Yes","0","0",".003747429","Agglomerative_Clustering_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","134","9"
"Yes","0","0",".177828275","ShuffleNet_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","184","2"
"No","1","N/A","0","Ant_Colony_Optimization_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","533","0"
"Yes","0","0",".009246818","Configuration_Interaction_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","220","9"
"Yes","0","0",".541732997","Root_Finding_Newton_Raphson_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","110","1000"
"Yes","0","0",".003107001","Lax_Wendroff_Scheme_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","107","6"
"Yes","0","0",".003142260","Triangle_Centroid_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","110","7"
"Yes","0","0",".002473787","Geometric_Feature_Extraction_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","160","6"
"No","1","N/A","0","Soft_Margin_SVM_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","162","0"
"Yes","0","0",".003318663","Dice_Loss_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","84","1"
"Yes","0","0",".003164768","Maximum_Bipartite_Matching_via_DFS_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","134","4"
"No","1","N/A","0","Gaussian_Mixture_Model_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","163","0"
"Yes","0","139",".212280273","Angle_at_Vertex_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","108","0"
"Yes","0","0",".003190538","Graph_Power_Computation_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","46","5"
"No","1","N/A","0","LEA_GCM_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","308","0"
"Yes","0","0",".003497780","Surface_Reconstruction_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","78","11"
"Yes","0","0",".004789275","Strassen_Matrix_Multiplication_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","409","14"
"Yes","0","0",".002906187","Rooted_Tree_Dynamic_Programming_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","64","13"
"Yes","0","124","1.002271761","Circle_Circle_Intersection_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","63","0"
"No","1","N/A","0","CAST_256_128_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","444","0"
"Yes","0","124","1.001992884","Voronoi_n=200_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","132","0"
"Yes","0","124","1.003081622","Horn_Schunck_Optical_Flow_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","138","0"
"Yes","0","0",".003268194","Convex_Hull_n=10_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","133","7"
"No","1","N/A","0","Linear_Discriminant_Classifier_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","192","0"
"Yes","0","0",".002695833","Sieve_of_Sundaram_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","97","4"
"Yes","0","0",".003143735","DES_56_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","418","2"
"No","1","N/A","0","Extra_Trees_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","252","0"
"No","1","N/A","0","Brent’s_Method_for_Factorization_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","115","0"
"Yes","0","124","1.002206982","FFT_Benchmark_Kernel_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","100","0"
"Yes","0","124","1.002064605","K_Nearest_Neighbors_Regressor_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","137","0"
"Yes","0","0",".533259777","Hough_Transform_Circle_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","227","0"
"Yes","0","0",".003655165","Art_Gallery_Problem_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","118","13"
"Yes","0","0",".680804741","Dormand_Prince_RK45_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","136","500"
"No","1","N/A","0","Power_Iteration_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","134","0"
"Yes","0","124","1.002067785","Sphere_Packing_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","93","0"
"Yes","0","0",".002961568","Tarjan’s_Offline_LCA_Algorithm_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","99","4"
"No","1","N/A","0","Wav2Vec_2.0_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","276","0"
"No","1","N/A","0","Gouraud_Shading_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","92","0"
"Yes","0","0",".005493373","Successive_Over_Relaxation_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","105","6"
"Yes","0","0",".003773089","Spectral_Density_Estimation_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","125","8"
"No","1","N/A","0","Camellia_CFB_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","134","0"
"Yes","0","124","1.002683678","Stochastic_Gradient_Descent_Classifier_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","122","0"
"Yes","0","0",".796098255","Reinforcement_Learning_Policy_Gradient_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","131","3"
"No","1","N/A","0","Blowfish_CFB_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","530","0"
"Yes","0","124","1.002163193","Runge_Kutta_Fehlberg_Method_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","105","0"
"No","1","N/A","0","CodeLlama_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","137","0"
"Yes","0","0",".005166225","Schwarz_Method_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","68","13"
"No","1","N/A","0","HC_256_128_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","125","0"
"Yes","0","0",".002414189","Parallel_Line_Test_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","58","6"
"Yes","0","0",".002364872","Union_by_Size_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","90","8"
"Yes","0","0",".002523246","Khufu_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","87","4"
"Yes","0","0",".002552705","ARIA_CFB_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","85","3"
"Yes","0","139",".215222578","Langevin_Dynamics_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","98","0"
"Yes","0","139",".230089222","Fehlberg_RK45_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","132","0"
"Yes","0","0",".002217940","ChaCha20_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","101","5"
"Yes","0","0",".003478244","Graph_Generator_Watts_Strogatz_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","112","18"
"Yes","0","0",".003156453","Hamiltonian_Path_Backtracking_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","204","4"
"Yes","0","0",".003266236","XGBoost_Regressor_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","182","3"
"Yes","0","139",".364632538","LSQR_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","225","0"
"Yes","0","0",".002220561","AES_128_XTS_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","245","1"
"Yes","0","0",".002318786","Binary_Indexed_Tree_for_Path_Queries_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","83","6"
"Yes","0","134",".076859029","DCEL_Construction_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","193","0"
"Yes","0","0",".003297759","Convex_Hull_Graham_Scan_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","111","11"
"Yes","0","0",".002223504","IDEA_NXT_128_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","118","15"
"Yes","0","0",".005938652","Polynomial_Interpolation_Lagrange_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","60","6"
"Yes","0","0",".002791321","L_System_Fractals_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","101","1"
"Yes","0","0",".501765099","Reward_Modeling_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","108","19"
"No","1","N/A","0","Twofish_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","271","0"
"No","1","N/A","0","Expectation_Propagation_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","94","0"
"Yes","0","0",".002235173","Distance_Oracle_Construction_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","106","11"
"Yes","0","0",".062143395","Perceptron_Classifier_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","178","130"
"Yes","0","0",".003018287","DES_X_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","338","5"
"Yes","0","0",".003121941","Point_on_Line_Test_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","55","15"
"Yes","0","0",".006840294","Deflation_Method_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","45","5"
"No","1","N/A","0","DistilBERT_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","228","0"
"Yes","0","0",".002577476","SUMMA_Matrix_Multiplication_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","94","18"
"Yes","0","0",".002097682","Path_Augmentation_BFS_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","129","1"
"Yes","0","0",".415182928","RANSAC_Regressor_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","129","3"
"Yes","0","0",".002839639","Newton_Optimization_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","56","26"
"Yes","0","0",".002164230","Modular_Addition_Chain_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","62","5"
"Yes","0","0",".003295619","Determinant_via_LU_Decomposition_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","94","1"
"Yes","0","0",".003033444","Modular_Multiplicative_Inverse_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","64","5"
"Yes","0","0",".009782681","L_BFGS_Algorithm_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","215","4"
"No","1","N/A","0","AlexNet_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","446","0"
"Yes","0","0",".003174529","All_Pairs_Edge_Connectivity_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","151","7"
"No","1","N/A","0","DDPM_Denoising_Diffusion_Probabilistic_Model_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","179","0"
"Yes","0","124","1.001740595","Iso_Line_Generation_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","236","0"
"No","1","N/A","0","Semi_Supervised_Learning_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","150","0"
"Yes","0","139",".270884126","GAN_Generative_Adversarial_Network_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","351","0"
"Yes","0","0",".003694057","Polynomial_Subtraction_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","124","3"
"No","1","N/A","0","Kalman_Filter_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","55","0"
"Yes","0","0",".003283252","Ford_Fulkerson_Method_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","64","1"
"Yes","0","0",".003682094","Boolean_Intersection_of_Solids_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","79","4"
"Yes","0","139",".363885054","OPTICS_Clustering_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","354","0"
"Yes","0","0",".002646877","Spearman_Rank_Correlation_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","89","1"
"Yes","0","0",".649538413","Matrix_Completion_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","137","11"
"Yes","0","0",".003389870","XChaCha8_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","183","2"
"Yes","0","0",".003027604","Kahn’s_Topological_Sort_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","87","1"
"Yes","0","0",".102162818","Bagging_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","119","4"
"Yes","0","0",".005135522","Mean_Curvature_Approximation_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","109","8"
"No","1","N/A","0","Boolean_Difference_of_Solids_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","111","0"
"Yes","0","0",".010319534","Polynomial_Regression_Model_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","121","11"
"No","1","N/A","0","Camellia_256_GCM_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","369","0"
"No","1","N/A","0","Monte_Carlo_Connectivity_Estimation_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","113","0"
"No","1","N/A","0","DryGASCON_128_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","165","0"
"Yes","0","0",".002271232","Bridges_in_Graph_Tarjan’s_Algorithm_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","80","1"
"Yes","0","0",".003522107","Proth_Primality_Test_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","23","8"
"No","1","N/A","0","Camellia_CBC_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","170","0"
"Yes","0","0",".003149416","Convex_Hull_Incremental_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","101","1"
"No","1","N/A","0","Line_Segment_Intersection_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","122","0"
"Yes","0","0",".004247402","De_Casteljau_Algorithm_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","66","5"
"No","1","N/A","0","Random_Walk_Kernel_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","110","0"
"Yes","0","0",".003893129","LU_Solver_for_Linear_System_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","272","13"
"Yes","0","0",".003447419","Graph_Diameter_Estimation_v1.cpp","/localdata/Mary/Workspace_2/SDC/Code_source/GPT_float_18k/generated_codes/v1","108","1"
